Impervious,Water,Herbaceous,BareSoilDr,Unsuitable,PossiblePl,Shrub,Shape_Area,object_id,Year,UrbanTreeCanopy_pct
47.8901727103,0.0278565026766,12.2859288327,0,0,12.4940939874,0.204684737059,20597.4157932,8,2022,38.4853954908
47.8901727103,0.0278565026766,12.2859288327,0,0,12.4940939874,0.204684737059,20597.4157932,8,2024,39.6023890578
43.8247247469,0,12.8057341314,0,0,13.5032882583,0.697554126949,14705.7043647,9,2020,42.3320771448
43.8247247469,0,12.8057341314,0,0,13.5032882583,0.697554126949,14705.7043647,9,2022,39.4354540752
43.8247247469,0,12.8057341314,0,0,13.5032882583,0.697554126949,14705.7043647,9,2024,42.6719869948
38.1470666313,0,25.2665111145,0.00698587456164,0,26.1062132368,0.839702122309,28592.783751,10,2020,40.9414164559
38.1470666313,0,25.2665111145,0.00698587456164,0,26.1062132368,0.839702122309,28592.783751,10,2022,35.0481326757
38.1470666313,0,25.2665111145,0.00698587456164,0,26.1062132368,0.839702122309,28592.783751,10,2024,35.7397342573
52.9082856616,0,17.2891677431,0,0,17.6822291936,0.393061450452,10071.271895,11,2020,33.6538106662
52.9082856616,0,17.2891677431,0,0,17.6822291936,0.393061450452,10071.271895,11,2022,30.2823399151
52.9082856616,0,17.2891677431,0,0,17.6822291936,0.393061450452,10071.271895,11,2024,29.4094851449
61.4061498146,0,9.10206016002,0,0,9.16339104012,0.0613308800981,9056.00040706,12,2020,34.1092618922
61.4061498146,0,9.10206016002,0,0,9.16339104012,0.0613308800981,9056.00040706,12,2022,30.8596545027
61.4061498146,0,9.10206016002,0,0,9.16339104012,0.0613308800981,9056.00040706,12,2024,29.4304591453
95.7708858881,0,0.0445169906514,0,0,0.0445169906514,0,605.069958793,13,2020,3.18543799772
95.7708858881,0,0.0445169906514,0,0,0.0445169906514,0,605.069958793,13,2022,4.41212840679
95.7708858881,0,0.0445169906514,0,0,0.0445169906514,0,605.069958793,13,2024,4.18459712123
