Index,site_id,creek_name,unit,week_temp_c,start_week,end_week
22,CGT1,Claggett Creek,C,17.91979166666667,10/1/2018,9/30/2018
22,CGT5,Claggett Creek,C,15.254821428571429,10/1/2018,9/30/2018
22,CRO1,Croisan Creek,C,14.300267857142858,10/1/2018,9/30/2018
22,CRO10,Croisan Creek,C,14.243616071428571,10/1/2018,9/30/2018
22,GIB1,Gibson Creek,C,13.74345238095238,10/1/2018,9/30/2018
22,GIB15,Gibson Creek,C,13.228005952380952,10/1/2018,9/30/2018
22,MRA1,Mill Race,C,15.207291666666666,10/1/2018,9/30/2018
22,MRA10,Mill Race,C,15.022470238095238,10/1/2018,9/30/2018
22,SHE1,Shelton Ditch,C,15.364568452380952,10/1/2018,9/30/2018
22,SHE10,Shelton Ditch,C,14.918369709761905,10/1/2018,9/30/2018
22,WAL3,Waln Creek,C,15.219002976190476,10/1/2018,9/30/2018
23,CGT1,Claggett Creek,C,18.04267857142857,5/1/2019,5/7/2019
23,CGT5,Claggett Creek,C,14.585357680722892,5/1/2019,5/7/2019
23,CRO1,Croisan Creek,C,12.242544329573935,5/1/2019,5/7/2019
23,CRO10,Croisan Creek,C,11.866532738095238,5/1/2019,5/7/2019
23,GIB1,Gibson Creek,C,13.197148026315789,5/1/2019,5/7/2019
23,GIB15,Gibson Creek,C,13.051940006265665,5/1/2019,5/7/2019
23,MRA1,Mill Race,C,14.946567683253075,5/1/2019,5/7/2019
23,MRA10,Mill Race,C,14.81690476190476,5/1/2019,5/7/2019
23,SHE1,Shelton Ditch,C,14.648779761904763,5/1/2019,5/7/2019
23,SHE10,Shelton Ditch,C,14.623214285714285,5/1/2019,5/7/2019
23,WAL3,Waln Creek,C,12.763525689223059,5/1/2019,5/7/2019
24,CGT1,Claggett Creek,C,20.503363095238093,5/10/2019,5/9/2019
24,CGT5,Claggett Creek,C,16.181383928571428,5/10/2019,5/9/2019
24,CRO1,Croisan Creek,C,13.863660714285714,5/10/2019,5/9/2019
24,CRO10,Croisan Creek,C,13.224181547619049,5/10/2019,5/9/2019
24,GIB1,Gibson Creek,C,14.871175595238094,5/10/2019,5/9/2019
24,GIB15,Gibson Creek,C,14.798854166666667,5/10/2019,5/9/2019
24,MRA1,Mill Race,C,16.66153273809524,5/10/2019,5/9/2019
24,MRA10,Mill Race,C,16.335372023809523,5/10/2019,5/9/2019
24,SHE1,Shelton Ditch,C,16.1290625,5/10/2019,5/9/2019
24,SHE10,Shelton Ditch,C,16.029553571428572,5/10/2019,5/9/2019
24,WAL3,Waln Creek,C,13.980252976190476,5/10/2019,5/9/2019
25,CGT1,Claggett Creek,C,16.92797619047619,5/15/2019,5/21/2019
25,CGT5,Claggett Creek,C,14.599255952380952,5/15/2019,5/21/2019
25,CRO1,Croisan Creek,C,12.76982142857143,5/15/2019,5/21/2019
25,CRO10,Croisan Creek,C,12.217633928571429,5/15/2019,5/21/2019
25,GIB1,Gibson Creek,C,13.659032738095238,5/15/2019,5/21/2019
25,GIB15,Gibson Creek,C,13.624895833333332,5/15/2019,5/21/2019
25,MRA1,Mill Race,C,13.490282738095237,5/15/2019,5/21/2019
25,MRA10,Mill Race,C,13.383169642857142,5/15/2019,5/21/2019
25,SHE1,Shelton Ditch,C,13.301458333333333,5/15/2019,5/21/2019
25,SHE10,Shelton Ditch,C,13.183973214285714,5/15/2019,5/21/2019
25,WAL3,Waln Creek,C,12.850267857142857,5/15/2019,5/21/2019
26,CGT1,Claggett Creek,C,17.51592261904762,5/22/2019,5/28/2019
26,CGT5,Claggett Creek,C,15.279583333333333,5/22/2019,5/28/2019
26,CRO1,Croisan Creek,C,13.170699404761905,5/22/2019,5/28/2019
26,CRO10,Croisan Creek,C,12.528169642857142,5/22/2019,5/28/2019
26,GIB1,Gibson Creek,C,14.216056547619047,5/22/2019,5/28/2019
26,GIB15,Gibson Creek,C,14.424181547619048,5/22/2019,5/28/2019
26,MRA1,Mill Race,C,14.61296130952381,5/22/2019,5/28/2019
26,MRA10,Mill Race,C,14.343229166666665,5/22/2019,5/28/2019
26,SHE1,Shelton Ditch,C,14.23266369047619,5/22/2019,5/28/2019
26,SHE10,Shelton Ditch,C,14.126220238095238,5/22/2019,5/28/2019
26,WAL3,Waln Creek,C,13.174925595238095,5/22/2019,5/28/2019
27,CGT1,Claggett Creek,C,21.119880952380953,5/29/2019,6/4/2019
27,CGT5,Claggett Creek,C,17.238675595238092,5/29/2019,6/4/2019
27,CRO1,Croisan Creek,C,15.202068452380951,5/29/2019,6/4/2019
27,CRO10,Croisan Creek,C,14.225386904761905,5/29/2019,6/4/2019
27,GIB1,Gibson Creek,C,15.855892857142857,5/29/2019,6/4/2019
27,GIB15,Gibson Creek,C,16.537113095238094,5/29/2019,6/4/2019
27,MRA1,Mill Race,C,17.966964285714287,5/29/2019,6/4/2019
27,MRA10,Mill Race,C,17.82125,5/29/2019,6/4/2019
27,SHE1,Shelton Ditch,C,17.55357142857143,5/29/2019,6/4/2019
27,SHE10,Shelton Ditch,C,17.57922619047619,5/29/2019,6/4/2019
27,WAL3,Waln Creek,C,14.831815476190476,5/29/2019,6/4/2019
28,CGT1,Claggett Creek,C,19.85044642857143,6/10/2019,6/9/2019
28,CGT5,Claggett Creek,C,16.14346726190476,6/10/2019,6/9/2019
28,CRO1,Croisan Creek,C,14.346056547619048,6/10/2019,6/9/2019
28,CRO10,Croisan Creek,C,13.725282738095238,6/10/2019,6/9/2019
28,GIB1,Gibson Creek,C,15.216547619047619,6/10/2019,6/9/2019
28,GIB15,Gibson Creek,C,15.985833333333334,6/10/2019,6/9/2019
28,MRA1,Mill Race,C,17.056458333333335,6/10/2019,6/9/2019
28,MRA10,Mill Race,C,16.906190476190474,6/10/2019,6/9/2019
28,SHE1,Shelton Ditch,C,16.68252976190476,6/10/2019,6/9/2019
28,SHE10,Shelton Ditch,C,16.68186011904762,6/10/2019,6/9/2019
28,WAL3,Waln Creek,C,14.457767857142857,6/10/2019,6/9/2019
29,CGT1,Claggett Creek,C,23.233020833333335,6/12/2019,6/18/2019
29,CGT5,Claggett Creek,C,18.721636904761905,6/12/2019,6/18/2019
29,CRO1,Croisan Creek,C,17.494255952380954,6/12/2019,6/18/2019
29,CRO10,Croisan Creek,C,16.038630952380952,6/12/2019,6/18/2019
29,GIB1,Gibson Creek,C,17.79330357142857,6/12/2019,6/18/2019
29,GIB15,Gibson Creek,C,18.73517857142857,6/12/2019,6/18/2019
29,MRA1,Mill Race,C,20.993869047619047,6/12/2019,6/18/2019
29,MRA10,Mill Race,C,20.85238095238095,6/12/2019,6/18/2019
29,SHE1,Shelton Ditch,C,20.472232142857145,6/12/2019,6/18/2019
29,SHE10,Shelton Ditch,C,20.503869047619048,6/12/2019,6/18/2019
29,WAL3,Waln Creek,C,17.10950892857143,6/12/2019,6/18/2019
30,CGT1,Claggett Creek,C,21.244583333333335,6/19/2019,6/25/2019
30,CGT5,Claggett Creek,C,15.970565476190476,6/19/2019,6/25/2019
30,CRO1,Croisan Creek,C,15.498005952380952,6/19/2019,6/25/2019
30,CRO10,Croisan Creek,C,14.595505952380952,6/19/2019,6/25/2019
30,GIB1,Gibson Creek,C,15.688601190476192,6/19/2019,6/25/2019
30,GIB15,Gibson Creek,C,16.34389880952381,6/19/2019,6/25/2019
30,MRA1,Mill Race,C,17.921145833333334,6/19/2019,6/25/2019
30,MRA10,Mill Race,C,17.840967261904762,6/19/2019,6/25/2019
30,SHE1,Shelton Ditch,C,17.561056547619046,6/19/2019,6/25/2019
30,SHE10,Shelton Ditch,C,17.598377976190477,6/19/2019,6/25/2019
30,WAL3,Waln Creek,C,15.039389880952381,6/19/2019,6/25/2019
31,CGT1,Claggett Creek,C,20.795967261904764,6/26/2019,7/2/2019
31,CGT5,Claggett Creek,C,17.011800595238096,6/26/2019,7/2/2019
31,CRO1,Croisan Creek,C,15.659508928571428,6/26/2019,7/2/2019
31,CRO10,Croisan Creek,C,14.598839285714286,6/26/2019,7/2/2019
31,GIB1,Gibson Creek,C,15.978869047619048,6/26/2019,7/2/2019
31,GIB15,Gibson Creek,C,16.70293154761905,6/26/2019,7/2/2019
31,MRA1,Mill Race,C,18.110059523809525,6/26/2019,7/2/2019
31,MRA10,Mill Race,C,18.02221726190476,6/26/2019,7/2/2019
31,SHE1,Shelton Ditch,C,17.806354166666665,6/26/2019,7/2/2019
31,SHE10,Shelton Ditch,C,17.796517857142856,6/26/2019,7/2/2019
31,WAL3,Waln Creek,C,15.587113095238095,6/26/2019,7/2/2019
32,CGT1,Claggett Creek,C,21.56403273809524,7/3/2019,7/9/2019
32,CGT5,Claggett Creek,C,17.149479166666666,7/3/2019,7/9/2019
32,CRO1,Croisan Creek,C,16.621026785714285,7/3/2019,7/9/2019
32,CRO10,Croisan Creek,C,15.532723214285713,7/3/2019,7/9/2019
32,GIB1,Gibson Creek,C,16.675505952380952,7/3/2019,7/9/2019
32,GIB15,Gibson Creek,C,17.36372023809524,7/3/2019,7/9/2019
32,MRA1,Mill Race,C,18.77392857142857,7/3/2019,7/9/2019
32,MRA10,Mill Race,C,18.645669642857143,7/3/2019,7/9/2019
32,SHE1,Shelton Ditch,C,18.420699404761905,7/3/2019,7/9/2019
32,SHE10,Shelton Ditch,C,18.414776785714285,7/3/2019,7/9/2019
32,WAL3,Waln Creek,C,16.23169642857143,7/3/2019,7/9/2019
33,CGT1,Claggett Creek,C,22.906145833333333,7/10/2019,7/16/2019
33,CGT5,Claggett Creek,C,19.34017857142857,7/10/2019,7/16/2019
33,CRO1,Croisan Creek,C,18.211904761904762,7/10/2019,7/16/2019
33,CRO10,Croisan Creek,C,16.732380952380954,7/10/2019,7/16/2019
33,GIB1,Gibson Creek,C,17.92247023809524,7/10/2019,7/16/2019
33,GIB15,Gibson Creek,C,18.76764880952381,7/10/2019,7/16/2019
