OBJECTID,UnitID,UnitID2,Name,UnitType,Status,PW Grid No,GLOBALID,Flow direction,Shape__Length
1922,182832,183100,Battle Creek,CREEK,ACT,33-442,ee886486-dbbc-4d1d-975b-ddaeb8e97945,1,72.89800526
1923,183107,182831,Battle Creek,CREEK,ACT,33-442,a8f285a5-c7ba-4690-94b4-18869afe1e12,1,156.0663204
1924,182830,183107,Battle Creek,CREEK,ACT,33-442,af2822ed-bb85-4757-9694-160733b71341,1,209.9229028
1925,183099,182829,Battle Creek,CREEK,ACT,33-442,c6b834dc-a095-4205-866c-db2e4f0345f5,1,680.4921606
1926,88742,183098,Battle Creek,CREEK,ACT,33-444,cbdbdf55-317b-477e-8c52-7686b71fe93b,1,702.8793544
1927,182462,182463,Battle Creek,CREEK,ACT,27-442,d8f183e3-8b22-49f6-94ff-dd7ecc033f7f,1,36.00325782
1928,182842,182843,South Fork Battle Creek,CREEK,ACT,,cc65d413-c648-46e5-819b-2a338b6dd32e,1,23.10220535
1929,182845,182846,South Fork Battle Creek,CREEK,ACT,,10dcd45f-be75-4af4-8f27-5d9ecee62a92,1,48.99846051
1930,182788,182462,Battle Creek,CREEK,ACT,21-442,6cb32332-ba8b-4dcb-9764-7949bdb74213,1,4464.470177
1931,182828,89014,Battle Creek,CREEK,ACT,27-444,e933aa4f-dccb-4926-8a95-34c0e8c3e262,1,1872.455149
1932,183090,182818,Ruggles Swale (Trib. Battle Creek),CREEK,ACT,27-446,47624948-2ddf-4775-ae60-2f56e0576cb8,1,756.7457561
1933,182846,89012,South Fork Battle Creek,CREEK,ACT,,59572a46-3917-4c9e-af15-2a8747250447,1,404.4443594
1934,182840,89016,South Fork Battle Creek,CREEK,ACT,,d3b7d0dc-58e2-4673-acf4-8d2e0fad2b44,1,4468.843522
1935,89016,182842,South Fork Battle Creek,CREEK,ACT,,b13c84e1-6cf4-4761-b6be-561f3e88dfa7,1,2368.739311
1936,182849,89016,Trib. Battle Creek,CREEK,ACT,,81d9e688-6bde-4221-b87b-17ab7b53f005,1,2941.411527
1937,182841,89017,South Fork Battle Creek,CREEK,ACT,,a6bfb1de-a8e0-470a-b8c2-2b86d2096a80,1,670.804413
1938,89012,182786,South Fork Battle Creek,CREEK,ACT,,be9eb570-f820-4a53-b175-9e599a0bd090,1,181.1339468
1939,100852,100853,Trib. West Fork Little Pudding River,CREEK,ACT,63-490,70fbd33d-2fab-4d66-ba9f-1f371380e2bd,1,100.5721461
1940,100855,100851,Trib. West Fork Little Pudding River,CREEK,ACT,63-486,3ad03338-abdb-4c50-96b8-62c0b263b8e6,1,3889.875876
1942,52216,131271,Waln Creek (Trib. Battle Creek),CREEK,ACT,36-450,3f29e6eb-e850-476f-9adc-0da688e170c3,1,118.7756435
